iter	Logloss
0	0.6913502099
1	0.6898447114
2	0.6873654654
3	0.685982992
4	0.6845995095
5	0.6833079646
6	0.6818864496
7	0.6801799957
8	0.6788467483
9	0.6772156902
10	0.6755862331
11	0.6741409249
12	0.672783939
13	0.6713160518
14	0.6703611933
15	0.6692381165
16	0.6681897669
17	0.6666300804
18	0.665252196
19	0.6638324972
20	0.6629216043
21	0.6613643396
22	0.6602837877
23	0.6585229687
24	0.6568627497
25	0.655939374
26	0.6550182105
27	0.6541706385
28	0.6531172206
29	0.6525336691
30	0.6512666877
31	0.6496871802
32	0.6488427308
33	0.648193689
34	0.647212044
35	0.6460300413
36	0.6447382779
37	0.6437722151
38	0.6429663023
39	0.6419689576
40	0.641592367
41	0.6408025416
42	0.6401799631
43	0.6394905773
44	0.6385955335
45	0.6378944383
46	0.6372719567
47	0.6366752203
48	0.6356893562
49	0.6347528329
50	0.6334782393
51	0.6329559372
52	0.6323881066
53	0.6319163076
54	0.6310456909
55	0.6302122362
56	0.6295532283
57	0.6284000797
58	0.6274096278
59	0.626762221
60	0.6263198568
61	0.625831357
62	0.6253690925
63	0.6242343762
64	0.6235618007
65	0.622829837
66	0.6223735283
67	0.6219571771
68	0.6214086427
69	0.6205494252
70	0.6199301894
71	0.6193928999
72	0.618741994
73	0.6179224815
74	0.6173239072
75	0.616897183
76	0.6159462002
77	0.6155713714
78	0.6148129165
79	0.6143896733
80	0.613370745
81	0.6128607799
82	0.6120900104
83	0.6116220972
84	0.6106505556
85	0.610120491
86	0.6095340362
87	0.6089956885
88	0.6083651633
89	0.6078214084
90	0.6074010937
91	0.6068852436
92	0.6062028103
93	0.6053528643
94	0.6042327976
95	0.6039043218
96	0.6032190065
97	0.6027309354
98	0.6022538843
99	0.6016148727
100	0.6011364573
101	0.600298345
102	0.5997035724
103	0.5991013103
104	0.598633306
105	0.5979959095
106	0.5974224493
107	0.5971368092
108	0.5964877995
109	0.5954109799
110	0.5951284291
111	0.5941790219
112	0.5935119798
113	0.5927180692
114	0.5923008941
115	0.5917667149
116	0.5910890055
117	0.5906744823
118	0.5898327946
119	0.5894987226
120	0.589129066
121	0.5886549042
122	0.5878528033
123	0.5874952982
124	0.586823773
125	0.5861211676
126	0.5855687546
127	0.5850501877
128	0.5846030187
129	0.5843259668
130	0.583621282
131	0.583126882
132	0.5825536555
133	0.5823908989
134	0.5817150243
135	0.5810757158
136	0.5805087806
